item_id,brand,custom_label,current_quantity
176061147930,Premium,MFP035,20
155913083175,Base PG,MFP036,20
176061147919,Premium,MFP036,20
155913083178,Base PG,MFP037,20
155913083369,Premium,MFP037,20
166464102661,Base PG,MFP038,20
176061147917,Premium,MFP038,20
166464102663,Base PG,MFP039,20
166464102847,Premium,MFP039,20
176061147680,Base PG,MFP040,20
176061147920,Premium,MFP040,20
155913083184,Base PG,MFP041,20
176061147925,Premium,MFP041,20
155913083181,Base PG,MFP042,20
155913083383,Premium,MFP042,20
155913083180,Base PG,MFP043,20
155913083373,Premium,MFP043,20
155913083185,Base PG,MFP044,20
155913083382,Premium,MFP044,20
166464102669,Base PG,MFP045,20
176061147933,Premium,MFP045,20
166464102667,Base PG,MFP046,20
176061147931,Premium,MFP046,20
166464102672,Base PG,MFP047,0
176061147938,Premium,MFP047,0
155913083182,Base PG,MFP049,0
166464102850,Premium,MFP049,0
166464102668,Base PG,MFP050,0
176061147922,Premium,MFP050,0
155913083189,Base PG,MFP051,20
176061147929,Premium,MFP051,20
166464102670,Base PG,MFP052,20
155913083372,Premium,MFP052,20
155913083187,Base PG,MFP053,20
176061147939,Premium,MFP053,20
155913083188,Base PG,MFP054,20
166464102866,Premium,MFP054,20
155913083190,Base PG,MFP055,20
166464102852,Premium,MFP055,20
166464102675,Base PG,MFP056,20
166464102853,Premium,MFP056,20
166464102674,Base PG,MFP057,20
176061147937,Premium,MFP057,20
166464102679,Base PG,MFP058,20
155913083374,Premium,MFP058,20
166464102676,Base PG,MFP059,20
155913083381,Premium,MFP059,20
155913083191,Base PG,MFP060,20
176061147928,Premium,MFP060,20
176061147706,Base PG,MFP061,20
176061147947,Premium,MFP061,20
166464102678,Base PG,MFP062,20
155913083378,Premium,MFP062,20
176061147716,Base PG,MFP063,20
155913083385,Premium,MFP063,20
155913083192,Base PG,MFP064,20
155913083390,Premium,MFP064,20
176061147708,Base PG,MFP065,20
155913083380,Premium,MFP065,20
155913083198,Base PG,MFP066,20
166464102865,Premium,MFP066,20
155913083197,Base PG,MFP067,20
155913083386,Premium,MFP067,20
166464102682,Base PG,MFP068,20
166464102855,Premium,MFP068,20
166464102681,Base PG,MFP069,20
166464102854,Premium,MFP069,20
155913083196,Base PG,MFP070,20
166464102858,Premium,MFP070,20
155913083201,Base PG,MFP071,20
166464102860,Premium,MFP071,20
166464102683,Base PG,MFP072,20
176061147934,Premium,MFP072,20
176061147730,Base PG,MFP073,20
176061147944,Premium,MFP073,20
155913083199,Base PG,MFP074,20
176061147953,Premium,MFP074,20
166464102687,Base PG,MFP076,20
176061147932,Premium,MFP076,20
155913083200,Base PG,MFP077,0
166464102859,Premium,MFP077,0
166464102693,Base PG,MFP078,0
176061147948,Premium,MFP078,0
166464102689,Base PG,MFP079,20
155913083395,Premium,MFP079,20
166464102692,Base PG,MFP081,20
176061147945,Premium,MFP081,20
166464102694,Base PG,MFP082,20
166464102864,Premium,MFP082,20
